campaign_id,company_size,industry,marketing_channel,ad_spend,duration,target_audience_area,target_audience_age,region,device,operating_system,browser,engagement_metric,conversion_rate,success,budget_allocation,audience_reach,device_conversion_rate,os_conversion_rate,browser_conversion_rate
1,<=50,manufacturing,email,41484,71,suburban,18-34,Europe,tablet,Android,Safari,12547,0.141545,Yes,584.2816901,12547,0.7,0.8,0.7
2,100+,services,influencer,23155,13,urban,55+,Africa,mobile,Android,Chrome,155190,0.498371967,Yes,1781.153846,258650,0.8,0.8,0.9
3,51-100,services,content marketing,25838,68,suburban,18-34,North America,tablet,iOS,Chrome,125296,0.213533274,Yes,379.9705882,139217.7778,0.7,0.9,0.9
4,<=50,technology,content marketing,28154,60,suburban,35-54,South America,mobile,Windows,Chrome,121101,0.297613741,Yes,469.2333333,151376.25,0.8,0.7,0.9
5,<=50,manufacturing,search engine,49035,58,rural,35-54,Asia-Pacific,tablet,iOS,Firefox,482402,0.60457956,Yes,845.4310345,689145.7143,0.7,0.9,0.8
6,<=50,finance,social media,35294,57,rural,35-54,Africa,mobile,Windows,Chrome,441403,0.599037854,Yes,619.1929825,551753.75,0.8,0.7,0.9
7,<=50,e-commerce,search engine,10273,10,urban,35-54,South America,desktop,Windows,Chrome,109421,0.871805493,Yes,1027.3,91184.16667,0.9,0.7,0.9
8,100+,technology,social media,13697,7,rural,55+,Africa,desktop,Windows,Firefox,104722,0.164580385,Yes,1956.714286,149602.8571,0.9,0.7,0.8
9,51-100,finance,search engine,10628,72,suburban,18-34,Europe,mobile,iOS,Safari,277800,0.497401785,Yes,147.6111111,308666.6667,0.8,0.9,0.7
10,51-100,finance,search engine,42681,41,suburban,55+,South America,tablet,iOS,Chrome,465214,0.598832314,Yes,1041,516904.4444,0.7,0.9,0.9
11,<=50,finance,content marketing,30414,83,urban,35-54,North America,desktop,Windows,Safari,99871,0.930469524,Yes,366.4337349,124838.75,0.9,0.7,0.7
12,100+,healthcare,social media,49831,87,rural,35-54,Europe,tablet,Android,Firefox,263712,0.516423337,Yes,572.7701149,329640,0.7,0.8,0.8
13,100+,finance,email,9718,16,suburban,18-34,North America,tablet,Windows,Safari,314013,0.340661944,No,607.375,348903.3333,0.7,0.7,0.7
14,<=50,services,email,24060,73,urban,35-54,Africa,desktop,Android,Firefox,484183,0.292138704,Yes,329.5890411,605228.75,0.9,0.8,0.8
15,<=50,retail,search engine,5096,74,rural,18-34,North America,desktop,Windows,Firefox,403805,0.216099112,Yes,68.86486486,403805,0.9,0.7,0.8
16,<=50,e-commerce,search engine,23347,71,urban,35-54,Europe,tablet,Windows,Safari,335484,0.96236771,No,328.8309859,419355,0.7,0.7,0.7
17,<=50,e-commerce,content marketing,43169,57,urban,18-34,Europe,mobile,Android,Safari,368298,0.60293832,Yes,757.3508772,368298,0.8,0.8,0.7
18,<=50,services,social media,35396,36,rural,18-34,Europe,desktop,Android,Chrome,338399,0.303523286,No,983.2222222,483427.1429,0.9,0.8,0.9
19,<=50,e-commerce,search engine,16058,45,rural,35-54,Africa,mobile,iOS,Firefox,265121,0.745113387,Yes,356.8444444,331401.25,0.8,0.9,0.8
20,<=50,services,email,17218,16,rural,55+,Asia-Pacific,mobile,Android,Safari,376480,0.289274913,Yes,1076.125,627466.6667,0.8,0.8,0.7
21,51-100,services,social media,21982,50,suburban,55+,Africa,desktop,Windows,Chrome,239376,0.503837739,Yes,439.64,398960,0.9,0.7,0.9
22,<=50,e-commerce,search engine,37281,38,rural,18-34,Europe,mobile,iOS,Firefox,429182,0.025976271,Yes,981.0789474,613117.1429,0.8,0.9,0.8
23,<=50,finance,social media,8963,50,rural,18-34,Africa,mobile,Windows,Chrome,481175,0.846570317,Yes,179.26,687392.8571,0.8,0.7,0.9
24,<=50,e-commerce,content marketing,30004,69,suburban,55+,South America,mobile,iOS,Chrome,251166,0.956551984,Yes,434.8405797,418610,0.8,0.9,0.9
25,<=50,healthcare,email,28677,67,rural,18-34,South America,mobile,Windows,Firefox,59278,0.865755338,Yes,428.0149254,84682.85714,0.8,0.7,0.8
